"","p14_1","p14_2","p14_3","p60_1","p60_2","p60_3","p7_1","p7_2","p7_3","Gene"
"AC136921.2",5.45283755948634,5.54262210338804,5.70552443298329,6.30910444720435,5.75253210650042,5.88511839729752,5.41845159029129,5.42663924912632,5.46572700750136,"AC136921.2"
"AC137853.1",5.17909324741218,5.45905202683688,4.8823193403231,4.90235884448628,5.16316664309124,5.03649713111895,5.06378069934473,5.25326633833327,4.73210749613293,"AC137853.1"
"AC137853.2",5.17909324741218,5.23536589102869,6.22222789000025,5.6641265409647,5.72133205376875,6.4294904115969,7.29079542720429,7.89516331913307,8.01896782683709,"AC137853.2"
"AC138228.2",4.2982061523158,4.58756062908026,4.45307066566371,4.50514889364436,3.94681959180372,3.94681959180372,3.94681959180372,3.94681959180372,4.34308198590873,"AC138228.2"
"AC138228.3",4.79729798369832,4.7284351313303,5.15741732573034,5.10709643209479,5.55188353774864,5.55447949299364,4.56916238365795,4.32062439631151,3.94681959180372,"AC138228.3"
"AC138457.1",4.55248688125715,4.26915876137029,4.30570654161492,4.73164010522718,4.69384908674737,4.29878195671709,5.29917629650479,5.04469038380761,5.10776852115503,"AC138457.1"
"AC138768.2",4.92434262379694,4.89850070263331,4.8150177324411,5.10709643209479,5.3959343917617,4.92589336506064,4.6636280876042,4.59072332715974,4.50548537441962,"AC138768.2"
"AC138790.1",5.75542315497858,5.71710373260036,5.98982087618668,5.89704101589638,6.10006728147027,6.47651290525833,6.23428311445466,5.70939449157928,5.95737197372743,"AC138790.1"
"AC138790.4",3.94681959180372,4.58756062908026,4.30570654161492,4.62854551761038,4.32345067233676,4.44335055821301,4.30797798885145,4.32062439631151,4.34308198590873,"AC138790.4"
"AC139131.1",4.44254217144345,4.66175414106674,3.94681959180372,4.62854551761038,4.32345067233676,4.44335055821301,4.30797798885145,4.59072332715974,4.34308198590873,"AC139131.1"
"AC139157.1",3.94681959180372,3.94681959180372,3.94681959180372,3.94681959180372,3.94681959180372,3.94681959180372,4.30797798885145,4.92002524512407,4.50548537441962,"AC139157.1"
"AC139296.1",4.64451239691233,4.58756062908026,4.30570654161492,3.94681959180372,4.32345067233676,4.64563940813467,4.30797798885145,4.77365013334238,3.94681959180372,"AC139296.1"
"AC140073.1",4.92434262379694,5.45905202683688,5.05704934452337,4.82166923979832,5.05265330721615,4.86477231022008,5.2562692110534,4.98454309832297,5.04447783797388,"AC140073.1"
"AC140207.2",4.2982061523158,4.58756062908026,4.30570654161492,4.34284185378424,4.47796538215946,3.94681959180372,4.30797798885145,4.4740014290903,3.94681959180372,"AC140207.2"
"AC140278.1",5.26478914581098,4.78939785464179,5.20398869505069,5.62689365450514,5.55188353774864,5.48920536554771,6.36380266837084,6.33986127516558,5.89807760679132,"AC140278.1"
"AC140278.2",4.2982061523158,4.50284177895054,3.94681959180372,3.94681959180372,4.32345067233676,4.44335055821301,4.45625851106335,4.85018350304565,4.62895390602379,"AC140278.2"
"AC140336.1",8.19457292808395,8.27930835167837,8.26341481482217,8.22393360323067,8.2369371289025,8.22583882672726,8.10215436309626,8.08477805935594,8.35008856370325,"AC140336.1"
"AC140336.2",4.2982061523158,4.40173776365751,3.94681959180372,4.34284185378424,4.47796538215946,4.55346984993606,3.94681959180372,3.94681959180372,4.34308198590873,"AC140336.2"
"AC140413.1",4.64451239691233,4.84581432645964,4.56528737666322,3.94681959180372,4.99210659779452,5.13519563191127,5.2562692110534,4.98454309832297,4.82218725230798,"AC140413.1"
"AC140413.2",5.08534501197736,4.89850070263331,4.8150177324411,5.04383898986576,4.99210659779452,4.55346984993606,5.11555484286124,4.85018350304565,5.32684084981997,"AC140413.2"
"AC141429.1",3.94681959180372,4.26915876137029,4.30570654161492,4.34284185378424,3.94681959180372,4.29878195671709,4.56916238365795,4.4740014290903,4.34308198590873,"AC141429.1"
"AC141471.1",4.2982061523158,4.26915876137029,4.30570654161492,4.50514889364436,4.32345067233676,4.29878195671709,4.45625851106335,4.4740014290903,4.50548537441962,"AC141471.1"
