Gene,p7_1,p7_2,p7_3,p14_1,p14_2,p14_3,p60_1,p60_2,p60_3,
Ebf4,8.726972157,8.529771682,8.856421025,8.066438834,8.386740437,8.294676362,7.768241551,7.781452994,7.856837118,
Ebi3,5.685953715,5.205081865,5.835858312,5.343966955,5.235365891,5.762291818,5.166444018,4.779768568,4.925893365,
Ebp,9.225805115,9.459588638,9.655960762,10.501982,10.6106561,10.71389357,10.30275031,10.22457144,10.19882145,
Ece1,10.51241073,10.54939226,10.80976651,11.47973165,11.3792046,11.41112429,12.34502184,12.48004013,12.19641632,
Ecel1,8.107261805,7.691207594,7.97247931,5.755423155,5.92964002,6.452833906,5.107096432,5.752532107,5.266819912,
Echdc2,8.984096532,9.061438222,9.296242088,9.839063368,10.11504199,10.28417089,10.4008547,10.13517866,9.904638801,
Echdc3,5.8792114,5.740430125,5.957371974,6.219905475,6.059635886,6.469039655,6.92190673,6.633178943,6.703132491,
Eci2,11.28726392,11.26174105,11.29232716,10.81266574,10.76219377,10.8684592,10.34227656,10.10502935,10.18973356,
Ecscr,8.102154363,7.577145497,8.031977766,7.441373666,7.566846007,7.62571158,6.640767565,6.190520649,6.259728706,
Ect2,10.93738032,10.95099715,10.35822147,8.157786143,8.293630615,7.575487948,6.093494728,5.924817337,5.835842311,
Eda,8.142513385,8.144564555,8.155967115,8.38159699,8.070509054,8.545366885,7.629505353,6.782243946,7.49078557,
Eda2r,8.315687277,8.458844422,7.823203738,6.788055077,6.935881092,6.577379303,5.464877754,5.21407975,5.675011681,
Edaradd,5.685953715,5.253266338,5.421343507,4.644512397,4.269158761,4.453070666,3.946819592,3.946819592,4.298781957,
Edn1,6.174665482,6.062747746,5.803546522,7.104297256,6.660430196,7.008464784,7.585992557,7.539110192,7.468248654,
Ednrb,13.98204223,13.91270317,13.45522252,13.54006854,13.40644712,13.12435546,12.43672614,12.46905496,12.44313447,
Eef1a1,14.89268653,14.97196751,14.94793666,14.34140538,14.50438062,14.51765779,13.8999898,13.59256073,13.73852877,
Eef1a2,12.36248826,12.59954854,12.98256994,14.57344519,14.43437722,14.59697279,15.34492754,15.53114051,15.20021661,
Eef1akmt4,6.575603924,6.32048216,6.332229585,5.343966955,5.542622103,5.989820876,5.548713537,5.514854255,5.266819912,
Efcab1,8.044737544,7.755508545,7.261049555,6.788055077,6.810049749,6.677770585,7.901787162,6.411497836,7.316552168,
Efcab11,7.683126571,7.577145497,7.578625335,5.997603578,6.059635886,6.142415778,5.374307659,5.26256619,5.455114095,
Efcab12,6.772112478,6.219128829,6.659272593,6.06208957,6.30095681,6.516528704,7.791383739,7.774470944,7.445348528,
Efcab14,10.21978196,10.25089995,10.0494242,10.85410102,10.73627492,10.62467086,11.22444295,11.56580616,11.44344476,
Efcab5,6.967117981,6.937797672,6.774120926,6.488474633,6.614523374,6.22222789,5.735300938,6.212194678,5.675011681,
Efcab6,6.309823479,5.964146159,6.589075644,4.981283204,5.199167673,5.409872943,5.04383899,5.21407975,4.925893365,
Efcab8,4.888069113,4.688333195,4.976533522,5.133345086,5.3996943,5.157417326,3.946819592,4.693849087,4.798659241,
Efcab9,4.820378931,4.590723327,4.505485374,4.797297984,4.789397855,4.565287377,5.507562716,5.163166643,5.383652204,
Efcc1,6.860803016,6.834483048,7.192679545,5.833114771,5.968146695,6.035283872,5.769384503,6.295513364,6.043897372,
Efemp1,7.939797752,8.112263158,7.860184087,8.708175553,7.397254501,7.760166463,9.375572434,8.810151081,9.29074758,
Efhb,5.827006935,5.426639249,5.276289156,5.034786019,4.789397855,5.108542226,5.464877754,5.353288973,5.346102975,
