"","X","res_n_3.rownames","log_mean_counts","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logpadj","significant","change","SYMBOL","annotation"
"20667",81840,81840,"1.708371609",51.09420063,-1.934831213,0.85987914,-2.250119957,0.024441332,0.085615839,1.067445882,"Not Sig","Unchanged","Epb41l4b","Promoter"
"20668",81843,81843,"1.359544029",22.88463707,0.680636907,0.837517339,0.812683959,0.41639928,0.604000843,0.218962455,"Not Sig","Unchanged","Epb41l4b","Promoter"
"20669",81844,81844,"2.108614061",128.4144988,0.354583488,0.412000244,0.860639025,0.389436885,0.579247097,0.237136134,"Not Sig","Unchanged","Epb41l4b","Promoter"
"20670",81846,81846,"2.411169161",257.732485,0.899850476,0.40631964,2.214636921,0.026784996,0.091463647,1.038751486,"Not Sig","Unchanged","Epb41l4b","Promoter"
"20671",81847,81847,"3.161057458",1448.963543,1.87585833,0.543791853,3.44958888,0.000561441,0.005424551,2.265636166,"Not Sig","Unchanged","Epb41l4b","Promoter"
"20673",81871,81871,"2.979246117",953.3362719,2.364049094,0.614271129,3.848543391,0.000118822,0.001720705,2.764293701,"Sig","Up","Ptpn3","Promoter"
"20674",81872,81872,"2.6183755",415.3129752,1.518783618,0.465945827,3.259571244,0.001115808,0.008943969,2.04846971,"Not Sig","Unchanged","Ptpn3","Promoter"
"20686",81934,81934,"2.636238577",432.7514948,1.616294009,0.456898946,3.537530613,0.000403887,0.004258887,2.370703858,"Not Sig","Unchanged","Svep1","Promoter"
"20722",82064,82064,"2.474920705",298.4837585,1.538784602,0.62962107,2.44398524,0.014526021,0.058404381,1.233554574,"Not Sig","Unchanged","Bspry","Promoter"
"20727",82075,82075,"2.262339325",182.9529114,0.302729956,0.433806803,0.697845111,0.485274064,0.663475114,0.178175362,"Not Sig","Unchanged","Rgs3","Promoter"
"20728",82077,82077,"2.965825739",924.3272127,0.765922803,0.410126655,1.867527488,0.061827962,0.166918544,0.777495413,"Not Sig","Unchanged","Rgs3","Promoter"
"20729",82081,82081,"2.313638205",205.8913991,0.147057601,0.613409732,0.239737965,0.810533401,0.895023528,0.048165548,"Not Sig","Unchanged","Rgs3","Promoter"
