"","X","res_n_3.rownames","log_mean_counts","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logpadj","significant","change","SYMBOL","annotation"
"32258",125815,125815,"2.036492679",108.7658802,-2.612032656,0.446275355,-5.852961908,4.83e-09,7.01e-07,6.154274083,"Sig","Down","Ephb1","Promoter"
"32259",125816,125816,"2.232005992",170.610593,-3.045064732,0.498165745,-6.112553428,9.8e-10,2.03e-07,6.693268798,"Sig","Down","Ephb1","Promoter"
"32260",125817,125817,"1.501161304",31.70744911,-0.120193026,0.549356562,-0.218788734,0.826814624,0.904866766,0.043415362,"Not Sig","Unchanged","Ephb1","Promoter"
"32262",125879,125879,"2.963579916",919.5596697,0.97354791,0.465830826,2.089917318,0.036625228,0.114752968,0.940236071,"Not Sig","Unchanged","Ephb1","Promoter"
"33143",128541,128541,"2.4923086",310.6766404,2.47533342,0.525139563,4.713667744,2.43e-06,8.9e-05,4.0504194,"Sig","Up","Atp2b3","Promoter"
"33144",128542,128542,"1.969181433",93.14969408,0.589054925,0.469415072,1.254870072,0.20952593,0.387024619,0.412261408,"Not Sig","Unchanged","Atp2b3","Promoter"
"33870",131012,131012,"2.988939675",974.8542182,1.877965712,0.375939325,4.995395762,5.87e-07,5.01e-05,4.300397637,"Not Sig","Unchanged","Amer3","Promoter"
"35099",137700,137700,"2.756392977",570.6804264,2.222448549,0.553177981,4.017601248,5.88e-05,0.001430053,2.844647928,"Sig","Up","Syt2","Promoter"
"35100",137718,137718,"2.753791958",567.2727967,1.028806401,0.411083342,2.5026711,0.012326003,0.061757281,1.209311837,"Not Sig","Unchanged","Syt2","Promoter"
"35388",139181,139181,"1.520434097",33.14622673,-2.617499863,0.558923835,-4.683106536,2.83e-06,0.000158398,3.800251508,"Sig","Down","Sec16b","Promoter"
"35389",139182,139182,"1.5692745",37.09150878,-1.273303245,0.506684918,-2.513007988,0.011970662,0.060472965,1.218438734,"Not Sig","Unchanged","Sec16b","Promoter"
